,City,Latitude,Longitude,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
360,Rovaniemi,66.5,25.7167,81.16,48,6,2.91,FI,1627473600
361,Poya,-21.35,165.15,66.2,70,3,6.69,NC,1627473600
362,Porto-Novo,6.4965,2.6036,83.98,63,92,12.17,BJ,1627473600
363,Sawtell,-30.3833,153.1,63.61,71,6,7.87,AU,1627473600
364,Kirkwood,38.5834,-90.4068,72.05,89,3,2.35,US,1627473600
365,Bontang,0.1333,117.5,83.59,75,41,10.36,ID,1627473600
366,Platteville,42.7342,-90.4785,71.15,99,8,2.86,US,1627473600
367,Port Hedland,-20.3167,118.5667,75.49,70,50,14.5,AU,1627473600
368,Blagoveshchensk,50.2667,127.5333,78.15,67,46,7.29,RU,1627473600
369,Ostroh,50.3294,26.5143,84.47,52,6,4.56,UA,1627473600
370,Mamlyutka,54.9375,68.5394,63.99,61,72,10.36,KZ,1627473600
371,La Asuncion,11.0333,-63.8628,79.83,89,10,10.11,VE,1627473600
372,Bundaberg,-24.85,152.35,65.93,87,26,8.05,AU,1627473600
373,Dongsheng,39.8161,109.9776,80.02,32,80,7.76,CN,1627473600
374,Petropavlovsk-Kamchatskiy,53.0452,158.6483,69.39,69,31,8.99,RU,1627473600
375,Severo-Kuril'sk,50.6789,156.125,56.17,95,99,7.76,RU,1627473600
376,Darya Khan,31.7912,71.1039,108.88,28,76,15.12,PK,1627473600
377,Pozo Colorado,-23.4923,-58.7972,45.9,38,0,6.67,PY,1627473600
378,Šalčininkai,54.3,25.3833,80.22,58,55,7.43,LT,1627473600
379,Suicheng,33.8963,117.9331,77.63,97,100,19.06,CN,1627473600
380,Yangi Marg`ilon,40.4272,71.7189,101.55,17,0,13.4,UZ,1627473600
381,Bardsīr,29.9227,56.5743,87.62,10,75,14.97,IR,1627473600
382,Newtownards,54.5924,-5.6909,60.06,83,79,7.99,GB,1627473600
383,Riyadh,24.6877,46.7219,113.4,8,17,20.18,SA,1627473600
384,Margate,51.3813,1.3862,66.4,66,48,23.78,GB,1627473600
385,Olinda,-8.0089,-34.8553,79.16,82,50,10.89,BR,1627473600
386,Garmsār,35.2182,52.3409,102.67,13,0,8.95,IR,1627473600
387,Mount Gambier,-37.8333,140.7667,47.25,80,72,11.97,AU,1627473600
388,Alghero,40.5589,8.3181,88.79,52,0,8.79,IT,1627473600
389,Puerto Madryn,-42.7692,-65.0385,37.69,86,7,8.66,AR,1627473600
390,Cap-Chat,49.1001,-66.6821,57.49,83,100,8.3,CA,1627473600
391,Talaya,61.3833,152.75,47.26,68,99,6.67,RU,1627473600
392,Zhangaözen,43.3,52.8,76.73,44,100,16.84,KZ,1627473600
393,Qaqortoq,60.7167,-46.0333,48.27,77,100,5.32,GL,1627473600
394,Warmbad,-28.45,18.7333,69.55,29,0,7.11,NA,1627473600
395,Santa Marta,11.2408,-74.199,78.76,82,84,7.76,CO,1627473600
396,Jalu,29.0331,21.5482,100.26,18,0,9.46,LY,1627473600
397,Jumla,29.2747,82.1838,72.16,81,90,3.33,NP,1627473600
398,Hirara,24.8,125.2833,84.0,85,81,4.25,JP,1627473600
399,Bilma,18.6853,12.9164,99.16,30,57,3.42,NE,1627473600
400,Visalia,36.3302,-119.2921,72.27,60,1,2.73,US,1627473600
401,Ahipara,-35.1667,173.1667,55.31,89,58,5.12,NZ,1627473600
402,Saint George,37.1041,-113.5841,81.68,49,12,2.48,US,1627473600
403,Honiara,-9.4333,159.95,77.49,87,96,5.39,SB,1627473600
404,Fort Nelson,58.8053,-122.7002,51.62,93,27,3.18,CA,1627473600
405,Pouébo,-20.4,164.5667,67.26,72,7,12.12,NC,1627473600
406,Kiryat Gat,31.61,34.7642,92.03,35,0,16.78,IL,1627473600
407,Itsukaichi,35.7253,139.2178,80.46,75,27,5.46,JP,1627473600
408,Zheshart,62.0731,49.5733,65.77,40,58,9.71,RU,1627473600
409,Thompson,55.7435,-97.8558,56.79,80,20,7.23,CA,1627473600
410,Balabac,7.9868,117.0645,84.97,79,100,12.62,PH,1627473600
411,Llano Largo,7.9,-80.4333,76.69,87,96,2.1,PA,1627473600
412,Saýat,38.7839,63.8803,102.31,6,0,25.39,TM,1627473600
413,Inhambane,-23.865,35.3833,74.64,55,29,10.18,MZ,1627473600
414,Tiksi,71.6872,128.8694,40.21,85,52,6.58,RU,1627473600
415,Basoko,1.2391,23.616,90.19,44,73,0.81,CD,1627473600
416,Hāgere Selam,6.4833,38.5167,50.65,92,100,2.86,ET,1627473600
417,Dalbandin,28.8947,64.4101,108.19,7,76,23.04,PK,1627473600
418,Casablanca,33.5928,-7.6192,79.54,71,13,9.01,MA,1627473600
419,Sayyan,15.1718,44.3244,74.7,41,24,0.22,YE,1627473600
420,Fairbanks,64.8378,-147.7164,54.37,95,93,7.63,US,1627473600
421,Prado,-17.3411,-39.2208,76.62,87,26,10.18,BR,1627473600
422,Sibolga,1.7427,98.7792,82.56,76,57,2.33,ID,1627473600
423,Souillac,-20.5167,57.5167,69.03,80,99,22.19,MU,1627473600
424,Korem,12.5058,39.5228,70.47,52,94,3.83,ET,1627473600
425,Sinjār,36.3209,41.8754,103.64,13,0,11.05,IQ,1627473600
426,Dennery,13.8996,-60.8879,81.82,75,17,14.45,LC,1627473600
427,Weligama,5.9667,80.4167,82.63,78,97,12.03,LK,1627473600
428,Kontagora,10.3999,5.4695,78.37,80,100,7.52,NG,1627473600
429,Siyabuswa,-25.1132,29.0445,67.8,24,0,4.56,ZA,1627473600
430,Cadiz,36.5,-5.75,93.06,32,0,8.95,ES,1627473600
431,Belaya Gora,68.5333,146.4167,50.7,50,89,10.38,RU,1627473600
432,Along,28.1667,94.7667,89.71,68,65,0.6,IN,1627473600
433,Borovoy,55.4333,86.0833,68.18,49,41,4.52,RU,1627473600
434,Bonavista,48.6499,-53.1147,63.61,94,79,12.59,CA,1627473600
435,Capreol,46.706,-80.9225,57.4,85,28,1.05,CA,1627473600
436,Marshfield,44.6689,-90.1718,65.12,95,82,5.37,US,1627473600
437,Sos'va,59.1766,61.8558,57.31,49,73,7.85,RU,1627473600
438,Meulaboh,4.1363,96.1285,83.34,73,65,6.49,ID,1627473600
439,Miandrivazo,-19.5167,45.4667,85.08,19,0,2.8,MG,1627473600
440,Purgstall,48.0584,15.1348,81.66,59,31,5.12,AT,1627473600
441,Boppard,50.2308,7.5899,67.64,84,98,10.25,DE,1627473600
442,Waingapu,-9.6567,120.2641,81.0,65,33,9.06,ID,1627473600
443,Trairi,-3.2778,-39.2689,83.98,80,26,11.61,BR,1627473600
444,Manicoré,-5.8092,-61.3003,78.82,80,2,1.81,BR,1627473600
445,Vostok,46.4856,135.8833,80.44,72,67,4.16,RU,1627473600
446,Goderich,43.7501,-81.7165,63.79,88,6,7.05,CA,1627473600
447,Port Lincoln,-34.7333,135.8667,52.48,64,5,8.23,AU,1627473600
448,Grajaú,-5.8194,-46.1386,86.0,55,6,5.06,BR,1627473600
449,Batagay-Alyta,67.8006,130.4114,54.88,48,0,9.01,RU,1627473600
450,Anadyr,64.75,177.4833,45.55,92,60,15.57,RU,1627473600
451,Rasipuram,11.4667,78.1667,91.33,45,100,7.07,IN,1627473600
452,Plettenberg Bay,-34.0527,23.3716,57.74,68,99,7.94,ZA,1627473600
453,Guisa,20.255,-76.5386,75.61,93,93,2.37,CU,1627473600
454,Vakhrushi,58.6847,50.0261,68.49,38,13,9.71,RU,1627473600
455,Aklavik,68.2191,-135.0107,54.63,94,100,4.16,CA,1627473600
456,Glyadyanskoye,54.9075,65.0883,66.13,44,55,14.45,RU,1627473600
457,Nueva Guinea,11.6876,-84.4562,72.25,98,96,5.28,NI,1627473600
458,Rørvik,64.8621,11.2373,75.18,59,30,9.08,NO,1627473600
459,Mayo,38.8876,-76.5119,76.62,79,1,6.6,US,1627473600
460,Colonia Carlos Antonio López,-26.4,-54.7667,41.79,65,0,3.27,PY,1627473600
461,Solnechnyy,50.7214,136.6319,79.29,86,60,3.22,RU,1627473600
462,Gobabis,-22.45,18.9667,68.81,20,0,5.21,NA,1627473600
463,Narsaq,60.9167,-46.05,50.9,71,100,3.65,GL,1627473600
464,Ust-Kuyga,70.0167,135.6,55.31,51,3,9.66,RU,1627473600
465,Ndioum,16.5129,-14.6471,91.15,57,37,13.69,SN,1627473600
466,Kirksville,40.1948,-92.5833,71.01,95,5,5.68,US,1627473600
467,Agirish,61.9247,63.0231,44.47,92,100,9.64,RU,1627473600
468,Ishigaki,24.3448,124.1572,84.2,82,82,1.1,JP,1627473600
469,Caravelas,-17.7125,-39.2481,77.47,87,30,9.55,BR,1627473600
470,Aswān,24.0934,32.907,108.52,14,14,14.76,EG,1627473600
471,Waddān,29.1614,16.139,94.42,29,0,6.51,LY,1627473600
472,Āsosa,10.0667,34.5333,67.71,81,100,6.15,ET,1627473600
473,Gizo Government Station,-8.103,156.8419,81.99,76,98,7.61,SB,1627473600
474,Puerto Escondido,15.85,-97.0667,78.51,84,99,4.03,MX,1627473600
475,Kropotkin,45.4375,40.5756,89.35,29,0,11.99,RU,1627473600
476,Bereket,39.2446,55.5154,105.6,18,2,12.91,TM,1627473600
477,Malatya Province,38.5,38.0,86.34,22,13,19.86,TR,1627473600
478,Mikhaylovka,50.06,43.2379,87.84,29,19,7.0,RU,1627473600
479,Laramie,41.3114,-105.5911,60.06,59,1,5.46,US,1627473600
480,Wilmington,34.2257,-77.9447,77.79,91,83,2.98,US,1627473600
481,Portoferraio,42.8115,10.3146,78.49,87,64,11.65,IT,1627473600
482,Tautira,-17.7333,-149.15,77.36,73,18,6.02,PF,1627473600
483,Viedma,-40.8135,-62.9967,43.66,71,77,9.78,AR,1627473600
484,Tselinnoye,53.0833,85.6667,66.83,48,100,2.91,RU,1627473600
485,Tuatapere,-46.1333,167.6833,46.49,90,83,5.14,NZ,1627473600
486,Uruaçu,-14.5247,-49.1408,77.7,40,0,2.93,BR,1627473600
487,Barabinsk,55.3571,78.357,69.57,48,43,6.82,RU,1627473600
488,Makakilo City,21.3469,-158.0858,76.28,73,87,13.76,US,1627473600
489,Blagodatnoye,45.3997,42.5867,84.51,36,1,5.95,RU,1627473600
490,Bazarnyy Syzgan,53.7512,46.7535,78.39,41,12,9.37,RU,1627473600
491,Āsbe Teferī,9.0833,40.8667,69.8,67,100,10.0,ET,1627473600
492,Itarema,-2.9248,-39.9167,83.52,82,43,13.06,BR,1627473600
493,Cabedelo,-6.9811,-34.8339,79.72,81,2,15.17,BR,1627473600
494,Manaure,11.7751,-72.4445,79.88,81,27,9.48,CO,1627473600
495,Kahramanmaraş Province,38.0,37.0,80.92,26,0,19.1,TR,1627473600
496,Sotouboua,8.5667,0.9833,77.88,78,99,5.59,TG,1627473600
497,Saint-Augustin,51.226,-58.6502,61.32,91,100,5.59,CA,1627473600
498,Villacarrillo,38.1156,-3.0848,92.25,28,0,6.8,ES,1627473600
499,Yaan,7.3833,8.5667,83.52,68,99,6.17,NG,1627473600
500,Luganville,-15.5333,167.1667,77.14,84,96,13.47,VU,1627473600
501,Cansanção,-10.6672,-39.4992,74.52,87,23,4.9,BR,1627473600
502,Tessalit,20.1986,1.0114,100.72,31,29,11.77,ML,1627473600
503,Ýpsonas,34.6884,32.9574,93.81,35,0,11.79,CY,1627473600
504,Cidreira,-30.1811,-50.2056,44.46,68,2,18.41,BR,1627473600
505,Bizhbulyak,53.6967,54.2642,73.08,29,4,11.77,RU,1627473600
506,Porto Murtinho,-21.6989,-57.8825,52.16,25,100,9.73,BR,1627473600
507,Acaraú,-2.8856,-40.12,83.3,82,51,13.35,BR,1627473600
508,Peranamallūr,12.5667,79.4333,96.03,34,100,16.33,IN,1627473600
509,Naze,28.3667,129.4833,78.98,90,86,11.45,JP,1627473600
510,Shimokizukuri,40.8061,140.3861,75.6,89,98,4.03,JP,1627473600
511,Lorengau,-2.0226,147.2712,82.36,78,7,8.16,PG,1627473600
512,Nyurba,63.2842,118.3319,78.64,52,12,5.68,RU,1627473600
513,Pacific Grove,36.6177,-121.9166,58.23,91,66,2.26,US,1627473600
514,Daoukro,7.0591,-3.9631,80.67,82,99,5.21,CI,1627473600
515,Gamba,-2.65,10.0,79.0,69,100,9.33,GA,1627473600
516,Flinders,-34.5833,150.8552,61.09,58,76,6.93,AU,1627473600
517,Sokolo,14.7328,-6.1219,92.05,60,81,3.78,ML,1627473600
518,Kalat,29.0225,66.5916,89.96,12,98,12.57,PK,1627473600
519,Carbonia,39.1672,8.5222,99.68,21,0,12.62,IT,1627473600
520,Asău,46.4333,26.4,92.44,35,42,2.73,RO,1627473600
521,Tomaszów Lubelski,50.4477,23.4162,84.97,56,22,7.99,PL,1627473600
522,High Level,58.5169,-117.136,51.26,98,21,3.44,CA,1627473600
523,Tamandaré,-8.7597,-35.1047,79.0,81,12,9.08,BR,1627473600
524,Nador,35.174,-2.9287,82.96,73,29,10.74,MA,1627473600
525,Anchorage,61.2181,-149.9003,57.79,83,93,2.08,US,1627473600
526,Virginia Beach,36.8529,-75.978,78.96,85,43,5.46,US,1627473600
527,Andijan,40.7821,72.3442,104.63,12,0,13.27,UZ,1627473600
528,Lady Frere,-31.7031,27.2329,67.17,21,81,19.13,ZA,1627473600
529,Emboscada,-25.15,-57.35,45.46,70,0,5.97,PY,1627473600
530,Norrtälje,59.758,18.705,68.5,88,100,9.28,SE,1627473600
531,Upata,8.0086,-62.3989,72.79,97,97,5.53,VE,1627473600
532,‘Āhuimanu,21.4447,-157.8378,77.45,76,43,14.41,US,1627473600
533,San Cristobal,7.7669,-72.225,69.91,86,17,0.78,VE,1627473600
534,Buraidah,26.326,43.975,113.77,8,40,15.05,SA,1627473600
535,Kananga,-5.8958,22.4178,97.41,14,16,1.01,CD,1627473600
536,Itapema,-27.0903,-48.6114,46.76,68,1,10.09,BR,1627473600
537,Ulladulla,-35.35,150.4667,58.06,61,34,5.91,AU,1627473600
538,São José da Coroa Grande,-8.8978,-35.1478,78.66,81,12,9.19,BR,1627473600
539,Kieta,-6.2167,155.6333,79.0,85,27,3.53,PG,1627473600
540,Eenhana,-17.4667,16.3333,80.28,18,0,4.81,NA,1627473600
541,Tabou,4.423,-7.3528,79.99,67,100,8.59,CI,1627473600
542,Leningradskiy,69.3833,178.4167,33.1,100,100,15.14,RU,1627473600
543,Ouallam,14.3188,2.0866,90.27,56,96,6.46,NE,1627473600
544,Anking,30.5092,117.0506,81.86,87,57,9.04,CN,1627473600
545,Bambanglipuro,-7.95,110.2833,79.43,70,93,10.11,ID,1627473600
546,Fare,-16.7,-151.0167,78.48,68,35,5.82,PF,1627473600
547,Tirodi,21.6833,79.7,78.57,87,100,5.37,IN,1627473600
548,Hazorasp,41.3194,61.0742,99.9,10,0,15.79,UZ,1627473600
549,Henties Bay,-22.116,14.2845,62.83,64,0,14.61,NA,1627473600
550,Cedar City,37.6775,-113.0619,66.4,57,24,3.18,US,1627473600
551,Broome,42.2506,-75.833,60.84,98,51,3.47,US,1627473600
552,Nemuro,43.3236,145.575,75.18,97,17,10.56,JP,1627473600
553,Cockburn Town,21.4612,-71.1419,81.39,78,93,17.29,TC,1627473600
554,Vao,-22.6667,167.4833,69.1,67,100,21.74,NC,1627473600
555,Schwerin,53.6294,11.4132,72.18,66,80,11.86,DE,1627473600
556,Tigil',57.8,158.6667,53.71,89,62,3.87,RU,1627473600
557,Sisimiut,66.9395,-53.6735,50.99,67,33,6.02,GL,1627473600
558,Isla Vista,34.4133,-119.861,67.12,77,60,2.15,US,1627473600
559,Buenos Aires,-34.6132,-58.3772,42.13,80,47,17.34,AR,1627473600
560,São João da Barra,-21.6403,-41.0511,73.13,63,1,14.07,BR,1627473600
561,Camaná,-16.6228,-72.7111,60.78,85,57,10.29,PE,1627473600
562,Praxédis Guerrero,31.3667,-106.0167,80.4,32,60,2.77,MX,1627473600
563,Vestmannaeyjar,63.4427,-20.2734,55.53,93,90,7.34,IS,1627473600
564,Nísia Floresta,-6.0911,-35.2086,82.9,82,7,13.38,BR,1627473600
565,Aginskoye,51.1,114.53,71.71,63,57,0.98,RU,1627473600
566,Mmabatho,-25.85,25.6333,64.92,23,0,8.1,ZA,1627473600
567,Smidovich,48.6,133.8167,87.67,65,15,3.44,RU,1627473600
568,Yerbogachën,61.2767,108.0108,86.22,36,2,5.84,RU,1627473600
569,Yeppoon,-23.1333,150.7333,65.88,80,0,7.31,AU,1627473600
570,Esna,25.2934,32.554,105.87,13,67,18.48,EG,1627473600
571,Bereda,43.2686,-7.5406,70.54,67,55,4.99,ES,1627473600
